19.7683,-101.1894,1011704.0
60.7029,-135.0691,28201.0
41.4822,-81.8008,50605.0
5.3258,163.0086,2591.0
45.1216,-95.0569,21006.0
-0.895,119.8594,381572.0
52.9784,-122.4927,12110.0
51.2167,33.2,84787.0
38.4832,-121.4043,49992.0
26.65,74.0333,40221.0
35.045,-81.9779,11191.0
8.2514,77.7752,9650.0
40.45,21.25,8903.0
21.1547,-98.9039,20577.0
16.2106,52.1711,10948.0
-36.5033,-72.2122,10631.0
61.9944,-49.6667,1308.0
27.0275,-108.94,10961.0
33.8017,-116.5382,44935.0
32.2564,131.5597,9972.0
-27.9922,143.8197,194.0
-0.2932,73.4236,9166.0
28.871,105.442,4218427.0
61.4833,129.15,9256.0
36.5457,4.0571,15479.0
54.2,37.6167,467955.0
-4.475,105.2414,51574.0
-2.3889,40.4378,5380.0
-12.0667,-75.2167,378203.0
61.5082,-149.6252,18619.0
-14.6728,-52.3528,24345.0
-17.7408,139.5477,238.0
2.8,24.7333,55313.0
13.6739,-6.075,45961.0
53.9167,102.05,30988.0
7.0833,171.3833,30000.0
21.9453,-78.4189,29117.0
32.6806,-17.1042,8862.0
14.895,-24.498,22227.0
9.3169,99.6944,11934.0
37.5167,127.2,154838.0
-30.1572,30.0647,12461.0
30.05,121.15,1095000.0
-32.1833,-61.7167,11086.0
39.1641,140.4948,41601.0
32.7,128.8333,34425.0
55.7433,-97.8553,13035.0
12.3786,-8.3333,26633.0
64.8353,-147.6533,70817.0
-26.45,31.95,6381.0
61.577,-149.466,9267.0
14.1308,-3.3539,18746.0
39.5419,-104.9708,101514.0
36.3133,140.5749,15787.0
61.123,28.5015,10659.0
13.3171,12.6089,30988.0
40.4278,69.3047,37104.0
39.8045,-105.0281,11185.0
-16.81,29.7,34200.0
-30.7489,121.4658,30841.0
61.868,89.2577,10.0
-15.4825,128.1228,745.0
-22.1042,-65.5972,16874.0
-5.5575,150.155,27191.0
-45.6,-69.0833,10858.0
-27.2022,152.9591,18573.0
40.5969,-6.5392,12065.0
60.1,133.9,10.0
5.95,80.55,12254.0
-0.78,-80.26,11317.0
52.05,113.4667,349983.0
38.4682,116.8918,44849.0
36.5333,9.6667,15762.0
53.0167,158.65,164900.0
-8.65,115.2167,834881.0
39.0167,-8.7833,22159.0
-43.531,172.6365,383200.0
43.7333,7.4167,36371.0
51.8333,143.1667,10098.0
4.5828,114.1918,4259.0
52.0167,4.4333,27130.0
57.7833,108.0833,11139.0
10.9667,-3.25,25688.0
35.8717,128.6017,2376044.0
19.465,0.856,8080.0
-14.2667,50.1667,84039.0
15.138,-23.211,3056.0
29.4407,-95.4206,9500.0
-14.8289,-74.9436,22859.0
60.65,47.2833,9658.0
62.1333,65.3833,58335.0
-14.2961,-178.1585,322.0
41.5333,60.35,18700.0
-21.1411,149.1858,72900.0
-3.25,127.0833,37869.0
-30.75,30.45,35633.0
5.8833,14.55,22882.0
43.2167,141.5167,15618.0
47.4122,-122.4726,10939.0
-7.1381,110.405,163182.0
