case_index,x,DuJo,DRL,SaTE,MRate,+Grid,Rand
0,500.0,-70.970968,-18.851159,-54.449040,-61.947014,-36.720216,-34.984974
1,750.0,-114.252576,-31.979416,-82.409956,-85.040950,-52.179438,-58.713091
2,1000.0,-149.897619,-49.657490,-115.652577,-113.560138,-62.819267,-65.510963
3,1250.0,-175.045889,-47.476752,-119.177950,-135.378969,-68.327234,-60.362300
4,1500.0,-190.553083,-55.937428,-167.021962,-139.196314,-77.035588,-70.272520
5,1750.0,-217.507630,-47.823650,-183.800611,-182.335061,-94.132563,-76.777837
6,2000.0,-245.817856,-61.676171,-213.893667,-183.807685,-100.289336,-91.957281
