case_index,x,DuJo,DRL,SaTE,MRate,+Grid,Rand
0,1000.0,-112.864802,-72.761496,-104.775647,-93.587274,-76.834818,-68.569380
1,1000.0,-126.618359,-66.462055,-113.804431,-101.991130,-76.136852,-68.620296
2,1000.0,-139.871403,-56.160606,-109.793138,-98.476499,-70.561326,-68.223860
3,1000.0,-154.711228,-39.425374,-115.652577,-109.878007,-68.141300,-61.788497
4,1000.0,-164.274795,-40.485732,-121.006538,-119.830635,-63.927622,-65.829002
5,1000.0,-168.458105,-44.286235,-119.733267,-138.034129,-62.603626,-59.252794
6,1000.0,-158.707583,-46.113411,-121.741763,-133.859433,-62.753386,-60.489496
