case_index,x,DuJo,DRL,SaTE,MRate,+Grid,Rand
0,1000.0,-149.897619,-47.624131,-115.652577,-113.560138,-62.819267,-65.510963
1,1000.0,-132.935779,-45.428875,-95.294158,-83.966655,-57.143341,-51.936246
2,1000.0,-103.625887,-38.883663,-74.906577,-65.348475,-50.347590,-51.559539
3,1000.0,-88.301006,-31.671229,-52.792943,-52.538575,-41.889111,-48.146218
4,1000.0,-70.716145,-33.341664,-46.191171,-36.995067,-36.548395,-32.141019
5,1000.0,-50.265769,-28.114217,-35.896050,-25.959319,-31.044704,-31.650686
6,1000.0,-32.335913,-27.088150,-27.603282,-15.140284,-17.428100,-17.634216
